"atlas_rank","id","name","institution","research_area","research_influence_index","citations","h_index","citations_to_2023_2025_publications","indexed_works","identity_status","openalex_author","profile_source","snapshot_date"
"1","aviv-regev","Aviv Regev","Genentech","compute","100","235317","210","5205","968","verified","https://openalex.org/A5004067604","https://www.gene.com/scientists/our-scientists/aviv-regev","2026-09-15"
"2","john-rogers","John A. Rogers","Northwestern University","record","97.9","114481","169","4353","1085","verified","https://openalex.org/A5045551635","https://www.mccormick.northwestern.edu/research-faculty/directory/profiles/rogers-john.html","2026-09-15"
"3","karl-deisseroth","Karl Deisseroth","Stanford University","stimulate","97.7","135384","187","1895","633","verified","https://openalex.org/A5014360828","https://profiles.stanford.edu/karl-deisseroth","2026-09-15"
"4","andres-lozano","Andres Lozano","University of Toronto","stimulate","95.4","85854","143","1703","1214","verified","https://openalex.org/A5071124477","https://surgery.utoronto.ca/faculty/andres-lozano","2026-09-15"
"5","gyorgy-buzsaki","György Buzsáki","New York University","record","95.2","133135","169","1284","594","verified","https://openalex.org/A5043247282","https://med.nyu.edu/faculty/gyorgy-buzsaki","2026-09-15"
"6","karel-svoboda","Karel Svoboda","Allen Institute","record","95.1","85275","134","2008","406","verified","https://openalex.org/A5088944052","https://alleninstitute.org/person/karel-svoboda","2026-09-15"
"7","christof-koch","Christof Koch","Allen Institute","compute","94.7","136556","160","1131","1048","verified","https://openalex.org/A5084822308","https://alleninstitute.org/person/christof-koch","2026-09-15"
"8","bryan-roth","Bryan Roth","University of North Carolina at Chapel Hill","stimulate","94.6","84828","141","1712","955","verified","https://openalex.org/A5007856961","https://unclineberger.org/directory/bryan-roth","2026-09-15"
"9","ulf-ziemann","Ulf Ziemann","University Hospital Tübingen","stimulate","93.9","65409","127","2357","900","verified","https://openalex.org/A5070374515","https://www.medizin.uni-tuebingen.de/de/das-klinikum/mitarbeiter/1601","2026-09-15"
"10","takao-someya","Takao Someya","University of Tokyo","record","92.8","59097","107","3238","724","verified","https://openalex.org/A5008853188","https://www.eeis.t.u-tokyo.ac.jp/en/staff/someya-takao/","2026-09-15"
"11","george-malliaras","George Malliaras","University of Cambridge","record","91.9","51285","114","3026","645","verified","https://openalex.org/A5022830421","https://www.eng.cam.ac.uk/node/4080","2026-09-15"
"12","hongkui-zeng","Hongkui Zeng","Allen Institute","record","91.2","57408","96","3779","378","verified","https://openalex.org/A5010189175","https://alleninstitute.org/person/hongkui-zeng","2026-09-15"
"13","edward-chang","Edward Chang","University of California, San Francisco","restore","89.2","48330","103","2910","740","verified","https://openalex.org/A5091099837","https://www.ucsfhealth.org/providers/edward-chang","2026-09-15"
"14","helen-mayberg","Helen Mayberg","Icahn School of Medicine at Mount Sinai","stimulate","88.8","60745","103","1056","535","verified","https://openalex.org/A5026199142","https://profiles.icahn.mssm.edu/helen-s-mayberg","2026-09-15"
"15","ed-lein","Ed Lein","Allen Institute / University of Washington","record","88.2","53063","81","3691","291","verified","https://openalex.org/A5085405013","https://alleninstitute.org/person/ed-lein","2026-09-15"
"16","ed-boyden","Ed Boyden","MIT","stimulate","86.7","47562","97","1583","481","verified","https://openalex.org/A5109593948","https://mcgovern.mit.edu/profile/ed-boyden/","2026-09-15"
"17","kenneth-harris","Kenneth Harris","University College London / Cortexlab","compute","86.3","49513","92","1251","669","verified","https://openalex.org/A5064176073","https://www.ucl.ac.uk/research/domains/sites/research_domains/files/neuroai_conference_brochure_2025_0.pdf","2026-09-15"
"18","sebastian-seung","Sebastian Seung","Princeton University","compute","85.6","49351","80","2302","269","verified","https://openalex.org/A5044273339","https://pni.princeton.edu/people/h-sebastian-seung","2026-09-15"
"19","guoping-feng","Guoping Feng","MIT / Broad Institute of MIT and Harvard","stimulate","84.3","45300","103","1008","411","verified","https://openalex.org/A5014241947","https://mcgovern.mit.edu/profile/guoping-feng/","2026-09-15"
"20","bernardo-sabatini","Bernardo Sabatini","Harvard University","record","82.4","36892","98","1169","308","verified","https://openalex.org/A5043679513","https://kempnerinstitute.harvard.edu/people/our-people/bernardo-sabatini/","2026-09-15"
"21","loren-looger","Loren Looger","University of California, San Diego","record","82.2","41050","84","1369","284","verified","https://openalex.org/A5054436322","https://neurosciences.ucsd.edu/research/labs/looger/people.html","2026-09-15"
"22","atsushi-miyawaki","Atsushi Miyawaki","RIKEN","record","81.7","51351","108","362","621","verified","https://openalex.org/A5005075596","https://cbs.riken.jp/en/faculty/a.miyawaki/","2026-09-15"
"23","peter-brown","Peter Brown","University of Oxford","stimulate","81.3","67664","133","191","901","verified","https://openalex.org/A5087477752","https://www.neuroscience.ox.ac.uk/news/retirement-of-professor-peter-brown","2026-09-15"
"24","krishna-shenoy","Krishna Shenoy","Stanford University (historical)","compute","80.6","32734","89","1384","299","verified","https://openalex.org/A5004430663","https://engineering.stanford.edu/news/krishna-shenoy-engineer-who-reimagined-how-brain-makes-body-move-dies-54","2026-09-15"
"25","rafael-yuste","Rafael Yuste","Columbia University","record","80","41461","108","435","427","verified","https://openalex.org/A5083888813","https://biology.columbia.edu/content/rafael-yuste","2026-09-15"
"26","jeff-lichtman","Jeff Lichtman","Harvard University","record","78.6","37166","88","761","351","verified","https://openalex.org/A5037495122","https://pinphd.hms.harvard.edu/people/jeff-w-lichtman","2026-09-15"
"27","michael-miller","Michael I. Miller","Johns Hopkins University","compute","78.4","38811","96","565","582","verified","https://openalex.org/A5033151214","https://engineering.jhu.edu/ece/faculty/michael-miller/","2026-09-15"
"28","matteo-carandini","Matteo Carandini","University College London / Cortexlab","compute","78.3","35858","85","920","409","verified","https://openalex.org/A5026654708","https://www.ucl.ac.uk/brain-sciences/research/meet-expert/meet-expert-professor-matteo-carandini","2026-09-15"
"29","bin-he","Bin He","Carnegie Mellon University","restore","77.9","29754","88","1372","1264","verified","https://openalex.org/A5100671882","https://www.cmu.edu/bme/People/Faculty/profile/bhe.html","2026-09-15"
"30","maarten-van-den-heuvel","Martijn P. van den Heuvel","Vrije Universiteit Amsterdam","compute","75.8","36687","86","559","343","verified","https://openalex.org/A5009949271","https://research.vu.nl/en/persons/martijn-van-den-heuvel/","2026-09-15"
"31","silvestro-micera","Silvestro Micera","École Polytechnique Fédérale de Lausanne (EPFL) / Scuola Superiore Sant’Anna","restore","74.4","28824","80","1118","776","verified","https://openalex.org/A5080060929","https://people.epfl.ch/silvestro.micera","2026-09-15"
"32","philip-starr","Philip Starr","University of California, San Francisco","stimulate","72.3","22800","76","1517","441","verified","https://openalex.org/A5024860464","https://profiles.ucsf.edu/philip.starr","2026-09-15"
"33","fritjof-helmchen","Fritjof Helmchen","University of Zurich","record","71.5","31008","76","654","308","verified","https://openalex.org/A5038528403","https://www.hifo.uzh.ch/en/research/helmchen.html","2026-09-15"
"34","viviana-gradinaru","Viviana Gradinaru","California Institute of Technology","stimulate","71.4","32997","66","671","228","verified","https://openalex.org/A5050240445","https://www.bbe.caltech.edu/people/viviana-gradinaru","2026-09-15"
"35","gregoire-courtine","Grégoire Courtine","École Polytechnique Fédérale de Lausanne (EPFL) / NeuroRestore","restore","70.4","22579","73","1411","251","verified","https://openalex.org/A5018530098","https://people.epfl.ch/gregoire.courtine/?lang=en","2026-09-15"
"36","richard-andersen","Richard Andersen","California Institute of Technology","compute","70.3","30865","89","336","341","verified","https://openalex.org/A5059911759","https://directory.caltech.edu/personnel/andersen","2026-09-15"
"37","martha-farah","Martha Farah","University of Pennsylvania","personal","70.2","43870","103","46","344","verified","https://openalex.org/A5063660509","https://neuroethics.upenn.edu/","2026-09-15"
"38","leigh-hochberg","Leigh Hochberg","Brown University / Massachusetts General Hospital / Harvard University","restore","69.1","21788","62","1712","267","verified","https://openalex.org/A5032110460","https://vivo.brown.edu/display/lhochber","2026-09-15"
"39","michael-roukes","Michael Roukes","California Institute of Technology","record","68.8","39578","79","164","328","verified","https://openalex.org/A5082335410","https://www.pma.caltech.edu/people/michael-l-roukes","2026-09-15"
"40","nigel-lovell","Nigel Lovell","UNSW Sydney","restore","68.7","23585","71","900","863","verified","https://openalex.org/A5060602596","https://www.unsw.edu.au/staff/nigel-lovell","2026-09-15"
"41","pieter-roelfsema","Pieter Roelfsema","Netherlands Institute for Neuroscience / Vrije Universiteit Amsterdam","record","68.6","24780","74","693","360","verified","https://openalex.org/A5008620732","https://nin.nl/research-groups/roelfsema/","2026-09-15"
"42","david-tank","David Tank","Princeton University","record","67.6","49278","81","33","211","verified","https://openalex.org/A5042778805","https://pni.princeton.edu/people/david-tank","2026-09-15"
"42","clay-reid","R. Clay Reid","Allen Institute","record","67.6","22612","72","850","196","verified","https://openalex.org/A5005494448","https://alleninstitute.org/person/r-clay-reid/","2026-09-15"
"44","jaimie-henderson","Jaimie Henderson","Stanford University / Neural Prosthetics Translational Laboratory","restore","67.1","21102","62","1493","247","verified","https://openalex.org/A5009856256","https://profiles.stanford.edu/jaimie-henderson","2026-09-15"
"45","reza-shadmehr","Reza Shadmehr","Johns Hopkins University","compute","66.9","31278","84","181","301","verified","https://openalex.org/A5028793301","https://profiles.hopkinsmedicine.org/provider/reza-shadmehr/2777030","2026-09-15"
"46","peter-hegemann","Peter Hegemann","Humboldt University of Berlin","stimulate","66.1","30439","81","204","399","verified","https://openalex.org/A5032787107","https://www.bbaw.de/die-akademie/bbaw-mitglieder/mitglied-peter-hegemann","2026-09-15"
"47","mark-schnitzer","Mark Schnitzer","Stanford University","record","65.8","25482","74","396","181","verified","https://openalex.org/A5009631067","https://profiles.stanford.edu/mark-schnitzer","2026-09-15"
"48","warren-grill","Warren Grill","Duke University","stimulate","65.5","21664","76","615","509","verified","https://openalex.org/A5017539910","https://scholars.duke.edu/person/warren.grill","2026-09-15"
"49","satrajit-ghosh","Satrajit Ghosh","MIT","compute","64.8","25326","58","619","363","verified","https://openalex.org/A5051194003","https://satra.cogitatum.org/","2026-09-15"
"50","john-donoghue","John Donoghue","Brown University","restore","64.2","32621","77","131","187","verified","https://openalex.org/A5029666654","https://vivo.brown.edu/display/jdonoghu","2026-09-15"
"51","sameer-sheth","Sameer Sheth","Baylor College of Medicine / Rice University","restore","63","13849","65","1239","502","verified","https://openalex.org/A5082661128","https://www.bcm.edu/people-search/sameer-sheth","2026-09-15"
"52","liam-paninski","Liam Paninski","Columbia University","compute","62.9","23413","66","422","289","verified","https://openalex.org/A5023278055","https://zuckermaninstitute.columbia.edu/liam-paninski-phd","2026-09-15"
"53","nick-ramsey","Nick Ramsey","University Medical Center Utrecht","restore","62.7","18366","77","544","499","verified","https://openalex.org/A5063036619","https://research.umcutrecht.nl/researchers/ramsey/","2026-09-15"
"54","john-ngai","John Ngai","NIH BRAIN Initiative","record","58.9","32949","53","135","134","verified","https://openalex.org/A5006317886","https://braininitiative.nih.gov/about/leadership","2026-09-15"
"55","joseph-fins","Joseph Fins","Weill Cornell Medicine","personal","58.8","13559","59","813","541","verified","https://openalex.org/A5064445958","https://teach.weill.cornell.edu/person/joseph-j-fins","2026-09-15"
"56","marius-pachitariu","Marius Pachitariu","HHMI Janelia Research Campus","compute","58.7","21130","37","1702","91","verified","https://openalex.org/A5084844011","https://www.janelia.org/people/marius-pachitariu","2026-09-15"
"57","jocelyne-bloch","Jocelyne Bloch","Lausanne University Hospital (CHUV) / University of Lausanne / École Polytechnique Fédérale de Lausanne (EPFL) / NeuroRestore","restore","58.2","13129","55","1245","245","verified","https://openalex.org/A5010595940","https://www.chuv.ch/fr/nos-specialistes/departements-et-services/equipe/profil/web_prf_92/jocelyne-bloch","2026-09-15"
"58","stephanie-lacour","Stéphanie Lacour","École Polytechnique Fédérale de Lausanne (EPFL)","restore","58.1","14801","62","542","249","verified","https://openalex.org/A5017041671","https://people.epfl.ch/stephanie.lacour?lang=en","2026-09-15"
"59","loren-frank","Loren Frank","University of California, San Francisco","compute","57","19978","69","250","228","verified","https://openalex.org/A5060193294","https://physiology.ucsf.edu/frank","2026-09-15"
"60","yaroslav-halchenko","Yaroslav Halchenko","Dartmouth College","compute","56.4","24144","42","486","422","verified","https://openalex.org/A5074058957","https://centerforopenneuroscience.org/","2026-09-15"
"61","cameron-mcintyre","Cameron McIntyre","Duke University","compute","56.2","18249","67","286","240","verified","https://openalex.org/A5083835604","https://scholars.duke.edu/person/Cameron.McIntyre","2026-09-15"
"62","tim-harris","Tim Harris","HHMI Janelia Research Campus","record","55.3","15756","45","832","220","verified","https://openalex.org/A5101535208","https://www.janelia.org/people/tim-harris","2026-09-15"
"63","josef-parvizi","Josef Parvizi","Stanford University","record","54.4","14184","55","401","206","verified","https://openalex.org/A5059660895","https://profiles.stanford.edu/josef-parvizi","2026-09-15"
"64","adam-cohen","Adam Cohen","Harvard University","record","54.2","12670","55","754","279","verified","https://openalex.org/A5067931881","https://cohenweb.rc.fas.harvard.edu/","2026-09-15"
"65","polina-anikeeva","Polina Anikeeva","MIT","stimulate","53.5","13318","52","565","153","verified","https://openalex.org/A5009750653","https://bioelectronics.mit.edu/polina.html","2026-09-15"
"66","joshua-vogelstein","Joshua Vogelstein","Johns Hopkins University","compute","52.2","12391","48","1034","572","verified","https://openalex.org/A5065441417","https://www.bme.jhu.edu/faculty_staff/joshua-vogelstein/","2026-09-15"
"67","sliman-bensmaia","Sliman Bensmaia","University of Chicago (historical)","restore","51.9","12388","62","461","221","verified","https://openalex.org/A5025038084","https://biosciences.uchicago.edu/news/articles/sliman-bensmaia-leading-expert-neuroscience-touch-1973-2023","2026-09-15"
"68","georg-nagel","Georg Nagel","University of Würzburg","stimulate","51.5","18703","55","162","265","verified","https://openalex.org/A5003921354","https://www.biozentrum.uni-wuerzburg.de/en/bot1/research/prof-dr-georg-nagel/","2026-09-15"
"69","judy-illes","Judy Illes","University of British Columbia","personal","51.2","13371","54","344","479","verified","https://openalex.org/A5023145420","https://neuroethics.med.ubc.ca/","2026-09-15"
"70","timothy-denison","Timothy Denison","University of Oxford / Amber Therapeutics","stimulate","50.5","10747","46","1592","272","verified","https://openalex.org/A5031652451","https://www.bndu.ox.ac.uk/people/prof-tim-denison-freng","2026-09-15"
"71","na-ji","Na Ji","University of California, Berkeley","record","50","10452","55","823","238","verified","https://openalex.org/A5047895845","https://www.jilab.net/","2026-09-15"
"72","jonathan-pillow","Jonathan Pillow","Princeton University","compute","49.3","12275","51","608","252","verified","https://openalex.org/A5047908820","https://ece.princeton.edu/people/jonathan-pillow","2026-09-15"
"73","jose-antonio-garrido","Jose Antonio Garrido","ICREA / ICN2; INBRAIN co-founder (2022 account)","record","48.9","13074","54","341","277","verified","https://openalex.org/A5032851715","https://www.imb-cnm.csic.es/en/outreach/news/inbrain-neuroelectronics-signs-agreement-develop-neurotechnology-patented-six-public","2026-09-15"
"74","kathleen-cullen","Kathleen Cullen","Johns Hopkins University","record","48.5","12105","61","359","380","verified","https://openalex.org/A5023860476","https://www.bme.jhu.edu/faculty_staff/kathleen-cullen/","2026-09-15"
"75","tom-chau","Tom Chau","University of Toronto","restore","48.4","13548","59","117","327","verified","https://openalex.org/A5084071828","https://bme.utoronto.ca/faculty-research/core-faculty/tom-chau/","2026-09-15"
"76","behnaam-aazhang","Behnaam Aazhang","Rice University","compute","47.5","20926","50","84","386","verified","https://openalex.org/A5061405587","https://profiles.rice.edu/faculty/behnaam-aazhang","2026-09-15"
"77","marcel-van-gerven","Marcel van Gerven","Radboud University","compute","45.7","10194","52","554","361","verified","https://openalex.org/A5074794877","https://www.ru.nl/en/people/gerven-m-van","2026-09-15"
"78","jacob-robinson","Jacob T. Robinson","Rice University","stimulate","45.6","11028","45","673","244","verified","https://openalex.org/A5090124580","https://robinsonlab.rice.edu/","2026-09-15"
"79","eric-maris","Eric Maris","Radboud University","compute","45.5","28346","38","17","127","verified","https://openalex.org/A5091232686","https://www.ru.nl/en/people/maris-e","2026-09-15"
"80","andrew-schwartz","Andrew Schwartz","University of Pittsburgh","restore","44.7","19122","46","56","139","verified","https://openalex.org/A5069968340","https://www.cnup.pitt.edu/people/andrew-b-schwartz-phd","2026-09-15"
"81","marcello-ienca","Marcello Ienca","Technical University of Munich","personal","44.3","12122","36","783","147","verified","https://openalex.org/A5057220026","https://www.ieai.sot.tum.de/people/marcello-ienca/","2026-09-15"
"82","xingde-li","Xingde Li","Johns Hopkins University","record","43.4","13129","51","113","337","verified","https://openalex.org/A5014330564","https://www.bme.jhu.edu/?p=19730","2026-09-15"
"83","scott-sternson","Scott Sternson","University of California, San Diego","stimulate","43.3","13190","40","277","87","verified","https://openalex.org/A5021791481","https://profiles.ucsd.edu/scott.sternson","2026-09-15"
"84","jens-haueisen","Jens Haueisen","Technische Universität Ilmenau","compute","42.7","10994","48","363","711","verified","https://openalex.org/A5044825834","https://www.tu-ilmenau.de/en/ntg/people/jens-haueisen","2026-09-15"
"85","chong-xie","Chong Xie","Rice University","record","42.4","8066","45","820","160","verified","https://openalex.org/A5084766385","https://xielab.rice.edu/","2026-09-15"
"86","alexander-mathis","Alexander Mathis","EPFL","compute","42.3","12418","28","728","146","verified","https://openalex.org/A5013861606","https://www.mathisgroup.org/","2026-09-15"
"87","tom-oxley","Tom Oxley","University of Melbourne","restore","41.1","13170","32","329","116","verified","https://openalex.org/A5089907065","https://www.unimelb.edu.au/about/people/tom-oxley","2026-09-15"
"88","mackenzie-mathis","Mackenzie Mathis","EPFL","compute","40","11633","23","1017","112","verified","https://openalex.org/A5025196309","https://www.mathislab.org/","2026-09-15"
"89","shangkai-gao","Shangkai Gao","Tsinghua University","restore","39.5","11727","50","127","178","verified","https://openalex.org/A5073517028","https://bme.tsinghua.edu.cn/en/Faculty/Emeritus___Retired_Faculty.htm","2026-09-15"
"90","jennifer-collinger","Jennifer Collinger","University of Pittsburgh","restore","39.4","8880","42","478","164","verified","https://openalex.org/A5009576549","https://www.rnel.pitt.edu/people/jennifer-collinger","2026-09-15"
"91","alipasha-vaziri","Alipasha Vaziri","Rockefeller University","record","39.3","11284","39","351","132","verified","https://openalex.org/A5017672157","https://www.vazirilab.org/","2026-09-15"
